Date,station,tmpf,relh,feel,sped,p01m,snowdepth
2025-12-15,NYC,23.04,54.41,13.05,9.78,0.0,0
2025-12-15,LGA,24.46,49.68,11.19,17.01,0.0,1
2025-12-15,JRB,26.12,66.88,20.25,5.61,0.0,0
2025-12-14,NYC,30.38,78.11,24.95,5.26,13.72,0
2025-12-14,LGA,31.73,72.02,24.85,9.36,18.54,1
2025-12-14,JRB,33.32,82.67,29.34,4.47,25.38,0
2025-12-13,NYC,33.25,52.16,29.15,4.38,0.0,0
2025-12-13,LGA,34.0,46.69,27.17,8.56,0.0,0
2025-12-13,JRB,34.46,64.44,28.57,7.04,0.0,0
2025-12-12,NYC,29.21,45.39,21.46,8.98,0.0,0
2025-12-12,LGA,30.17,41.53,18.77,16.48,0.0,0
2025-12-12,JRB,32.1,59.99,26.47,6.2,0.0,0
2025-12-11,NYC,35.71,53.74,28.09,10.35,0.76,0
2025-12-11,LGA,36.92,53.7,26.87,18.58,0.76,0
2025-12-11,JRB,38.61,53.66,31.84,8.67,0.76,0
2025-12-10,JRB,38.18,82.92,30.77,11.7,0.76,0
2025-12-10,LGA,37.88,56.31,30.32,11.84,1.52,0
2025-12-10,NYC,37.42,61.64,33.37,6.49,1.02,0
2025-12-09,NYC,25.17,35.1,20.02,4.65,0.0,0
2025-12-09,LGA,25.79,33.47,17.76,7.67,0.0,0
2025-12-09,JRB,29.38,52.34,23.39,6.61,0.0,0
2025-12-08,NYC,32.04,37.64,24.59,8.21,0.0,0
2025-12-08,LGA,32.67,36.09,22.03,16.2,0.0,0
2025-12-08,JRB,34.79,51.92,28.62,7.91,0.0,0
2025-12-07,NYC,37.58,54.83,34.52,4.0,0.0,0
2025-12-07,LGA,38.83,49.52,32.94,8.91,0.0,0
2025-12-07,JRB,39.08,70.64,34.09,7.33,0.0,0
2025-12-06,NYC,34.58,68.05,31.21,3.5,0.5,0
2025-12-06,LGA,34.52,68.54,29.89,5.75,1.75,0
2025-12-06,JRB,37.01,87.1,32.37,6.42,0.0,0
2025-12-05,LGA,26.08,43.47,16.81,9.98,0.0,0
2025-12-05,JRB,29.53,62.56,22.23,7.59,0.0,0
2025-12-05,NYC,25.75,44.57,18.74,5.96,0.0,0
2025-12-04,JRB,38.92,65.32,33.02,8.67,0.0,0
2025-12-04,LGA,37.42,46.89,29.68,12.65,0.0,0
2025-12-04,NYC,36.58,49.76,29.92,7.67,0.0,0
2025-12-03,NYC,35.92,61.84,31.16,6.54,0.0,0
2025-12-03,LGA,36.9,61.9,29.08,12.38,0.0,0
2025-12-03,JRB,38.91,72.76,35.48,4.49,0.25,0
2025-12-02,NYC,37.17,68.09,33.32,5.03,19.82,0
2025-12-02,LGA,38.31,69.49,32.22,9.02,32.26,0
2025-12-02,JRB,41.4,71.56,34.43,8.38,34.29,0
2025-12-01,JRB,42.46,53.83,38.33,7.5,0.0,0
2025-12-01,LGA,40.96,49.43,33.7,13.25,0.0,0
2025-12-01,NYC,39.79,50.77,35.64,5.91,0.0,0
2025-11-30,NYC,40.38,60.41,37.83,3.88,2.79,0
2025-11-30,LGA,40.58,57.85,35.75,7.7,2.28,0
2025-11-30,JRB,42.25,71.32,38.28,7.46,0.75,0
2025-11-29,NYC,36.83,41.79,32.15,6.24,0.0,0
2025-11-29,LGA,38.04,38.44,29.82,13.8,0.0,0
2025-11-29,JRB,39.79,48.95,34.05,9.1,0.0,0
2025-11-28,LGA,38.62,38.11,29.19,18.16,0.0,0
2025-11-28,JRB,39.67,53.08,31.11,16.24,0.0,0
2025-11-28,NYC,37.67,44.29,31.43,7.59,0.0,0
2025-11-27,NYC,45.38,45.93,41.7,8.42,3.05,0
2025-11-27,LGA,47.19,44.04,41.83,15.57,2.8,0
2025-11-27,JRB,48.18,50.37,41.69,10.61,9.91,0
2025-11-26,NYC,57.12,83.86,57.12,6.15,15.25,0
2025-11-26,LGA,57.31,82.2,57.31,9.0,17.78,0
2025-11-26,JRB,56.75,,,6.13,14.22,0
2025-11-25,NYC,50.08,56.71,49.94,2.07,3.55,0
2025-11-25,LGA,50.18,59.04,48.97,6.98,5.08,0
2025-11-25,JRB,50.63,73.55,49.12,4.23,4.56,0
2025-11-24,NYC,47.33,47.23,45.94,4.31,0.0,0
2025-11-24,LGA,48.54,42.47,44.69,12.46,0.0,0
2025-11-24,JRB,49.29,54.48,47.96,4.65,0.0,0
2025-11-23,LGA,44.38,45.76,40.62,8.43,0.0,0
2025-11-23,JRB,45.25,61.29,43.11,5.46,0.0,0
2025-11-23,NYC,43.33,51.62,41.63,3.0,0.0,0
2025-11-22,JRB,50.26,86.37,50.91,4.79,6.58,0
2025-11-22,LGA,49.17,70.26,47.37,7.14,8.63,0
2025-11-22,NYC,48.79,72.55,48.17,3.4,5.07,0
2025-11-21,NYC,47.33,63.09,46.37,3.4,0.0,0
2025-11-21,LGA,47.97,59.05,46.36,6.7,0.0,0
2025-11-21,JRB,48.66,81.27,47.07,6.3,0.0,0
2025-11-20,NYC,42.46,47.1,40.1,3.71,0.0,0
2025-11-20,LGA,42.58,45.4,38.86,6.04,0.0,0
2025-11-20,JRB,45.62,59.46,42.49,6.42,0.25,0
2025-11-19,LGA,43.04,56.88,39.5,6.1,4.8,0
2025-11-19,JRB,45.11,71.29,43.27,6.17,7.35,0
2025-11-19,NYC,43.12,62.55,41.61,2.64,4.31,0
2025-11-18,NYC,41.38,39.94,36.68,7.25,0.0,0
