station,valid,lon,lat,elevation,tmpf,relh,feel,drct,sped,p01m,p01i,gust_mph,skyc1,skyc2,skyc3,skyl1,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,snowdepth
NYC,2024-01-01 00:51,-73.9693,40.7790,27.00,43.00,46.71,38.78,250.00,6.90,0.00,0.00,null,OVC,null,null,4800.00,null,null,null,null
NYC,2024-01-01 01:51,-73.9693,40.7790,27.00,42.00,52.76,42.00,0.00,0.00,0.00,0.00,null,OVC,null,null,5000.00,null,null,null,null
NYC,2024-01-01 02:51,-73.9693,40.7790,27.00,43.00,52.91,41.26,null,3.45,0.00,0.00,null,OVC,null,null,4800.00,null,null,null,null
NYC,2024-01-01 03:51,-73.9693,40.7790,27.00,43.00,52.91,39.46,250.00,5.75,0.00,0.00,null,OVC,null,null,4600.00,null,null,null,null
NYC,2024-01-01 04:51,-73.9693,40.7790,27.00,43.00,52.91,39.46,260.00,5.75,0.00,0.00,null,BKN,OVC,null,4600.00,null,null,null,null
NYC,2024-01-01 05:51,-73.9693,40.7790,27.00,42.00,54.99,37.57,260.00,6.90,0.00,0.00,null,BKN,OVC,null,4000.00,null,null,null,null
NYC,2024-01-01 06:51,-73.9693,40.7790,27.00,42.00,57.30,39.10,null,4.60,0.00,0.00,null,OVC,null,null,6000.00,null,null,null,null
NYC,2024-01-01 07:51,-73.9693,40.7790,27.00,41.00,59.55,41.00,0.00,0.00,0.00,0.00,null,OVC,null,null,3400.00,null,null,null,null
NYC,2024-01-01 08:51,-73.9693,40.7790,27.00,41.00,62.04,38.98,250.00,3.45,0.00,0.00,null,OVC,null,null,3700.00,null,null,null,null
NYC,2024-01-01 09:51,-73.9693,40.7790,27.00,40.00,67.18,40.00,0.00,0.00,0.00,0.00,null,FEW,SCT,BKN,3500.00,null,null,null,null
NYC,2024-01-01 10:51,-73.9693,40.7790,27.00,41.00,64.63,37.93,290.00,4.60,T,T,null,BKN,OVC,null,3300.00,null,null,null,null
NYC,2024-01-01 11:20,-73.9693,40.7790,27.00,40.00,69.97,35.90,300.00,5.75,T,T,null,OVC,null,null,2900.00,null,null,null,null
NYC,2024-01-01 11:51,-73.9693,40.7790,27.00,39.00,78.86,36.69,290.00,3.45,0.25,0.01,null,OVC,null,null,2500.00,null,null,null,null
NYC,2024-01-01 12:51,-73.9693,40.7790,27.00,39.00,82.08,36.69,240.00,3.45,0.25,0.01,null,OVC,null,null,1900.00,null,null,null,null
NYC,2024-01-01 13:51,-73.9693,40.7790,27.00,40.00,78.94,37.83,null,3.45,0.00,0.00,null,SCT,OVC,null,2300.00,null,null,null,null
NYC,2024-01-01 14:51,-73.9693,40.7790,27.00,41.00,72.96,38.98,null,3.45,0.00,0.00,null,OVC,null,null,7500.00,null,null,null,null
NYC,2024-01-01 15:51,-73.9693,40.7790,27.00,43.00,67.54,41.26,80.00,3.45,0.00,0.00,null,SCT,null,null,2200.00,null,null,null,null
NYC,2024-01-01 16:51,-73.9693,40.7790,27.00,45.00,60.11,43.55,null,3.45,0.00,0.00,null,CLR,null,null,null,null,null,null,null
NYC,2024-01-01 17:51,-73.9693,40.7790,27.00,46.00,57.87,44.69,null,3.45,0.00,0.00,null,BKN,null,null,7000.00,null,null,null,null
NYC,2024-01-01 18:51,-73.9693,40.7790,27.00,45.00,55.43,45.00,0.00,0.00,0.00,0.00,null,FEW,BKN,null,4800.00,null,null,null,null
