date,station,tmpf,relh,feel,sped,p01m,snowdepth
2020-01-01,JRB,39.62,60.72,32.79,11.16,0.0,0
2020-01-01,LGA,39.58,51.91,30.95,16.15,0.25,0
2020-01-01,NYC,39.02,55.07,32.95,9.06,0.51,0
2020-01-02,JRB,38.96,59.52,33.75,7.67,1.01,0
2020-01-02,LGA,40.12,48.92,34.17,9.49,0.0,0
2020-01-02,NYC,40.11,50.99,35.92,6.25,0.0,0
2020-01-03,JRB,45.23,82.18,42.61,5.12,0.75,0
2020-01-03,LGA,46.55,75.9,43.85,5.43,3.54,0
2020-01-03,NYC,46.28,79.58,44.61,3.51,4.29,0
2020-01-04,JRB,46.99,95.44,45.18,3.9,5.31,0
2020-01-04,LGA,46.51,92.63,44.11,4.88,17.77,0
2020-01-04,NYC,48.47,93.05,47.42,2.92,18.04,0
2020-01-05,JRB,41.97,60.41,39.12,4.6,0.0,0
2020-01-05,LGA,40.18,59.19,30.25,21.81,0.25,0
2020-01-05,NYC,40.58,56.12,34.19,11.55,0.75,0
2020-01-06,JRB,37.19,71.49,30.56,9.57,0.51,0
2020-01-06,LGA,36.52,64.88,29.34,10.79,0.75,0
2020-01-06,NYC,35.81,70.19,32.01,5.32,2.54,0
2020-01-07,JRB,41.0,52.82,36.59,6.76,0.0,0
2020-01-07,LGA,41.08,42.66,35.16,10.25,0.0,0
2020-01-07,NYC,41.17,43.06,37.75,5.27,0.0,0
2020-01-08,JRB,37.43,69.95,31.57,8.68,0.0,0
2020-01-08,LGA,36.11,64.21,27.17,15.5,0.0,0
2020-01-08,NYC,36.05,63.72,30.12,7.84,0.0,0
2020-01-09,JRB,30.75,46.27,25.69,5.13,0.0,0
2020-01-09,LGA,28.77,40.22,18.58,14.04,0.0,0
2020-01-09,NYC,28.22,39.04,22.98,5.65,0.0,0
2020-01-10,JRB,40.58,69.35,35.6,8.89,0.0,0
2020-01-10,LGA,41.0,63.87,36.12,9.32,0.0,0
2020-01-10,NYC,41.61,63.44,38.21,6.28,0.0,0
2020-01-11,JRB,56.88,72.89,56.89,8.96,0.0,0
2020-01-11,LGA,54.83,72.79,54.42,10.25,0.0,0
2020-01-11,NYC,59.29,66.93,59.28,5.53,0.0,0
2020-01-12,JRB,61.71,70.29,61.73,10.2,0.25,0
2020-01-12,LGA,59.61,72.64,59.59,15.32,4.3,0
2020-01-12,NYC,62.83,67.72,62.82,8.4,1.77,0
2020-01-13,JRB,44.78,68.41,41.03,7.07,0.0,0
2020-01-13,LGA,42.34,73.11,36.99,9.52,0.0,0
2020-01-13,NYC,43.11,66.44,40.14,5.09,0.0,0
2020-01-14,JRB,43.35,83.02,40.23,5.39,0.0,0
2020-01-14,LGA,40.92,84.81,36.13,7.43,4.32,0
2020-01-14,NYC,42.43,79.31,40.29,3.64,3.79,0
2020-01-15,JRB,46.16,77.5,43.82,5.59,0.0,0
2020-01-15,LGA,43.84,76.66,40.19,6.9,0.0,0
2020-01-15,NYC,43.84,80.82,41.7,3.83,0.0,0
2020-01-16,JRB,45.62,76.6,42.27,6.93,0.0,0
2020-01-16,LGA,44.53,72.98,37.74,15.96,4.8,0
2020-01-16,NYC,45.26,69.73,41.22,8.01,5.08,0
2020-01-17,JRB,31.8,45.1,26.63,5.37,0.51,0
2020-01-17,LGA,28.82,42.15,15.39,21.9,0.0,0
2020-01-17,NYC,28.39,38.88,19.1,12.27,0.0,0
2020-01-18,JRB,26.77,66.65,21.05,5.82,1.52,0
2020-01-18,LGA,24.71,60.81,16.78,7.75,9.89,0
2020-01-18,NYC,25.4,64.48,20.04,4.71,16.99,0
2020-01-19,JRB,39.05,77.59,33.64,8.13,2.54,0
